sample, total, mapped
WATDE0252, 1327212168, 1325174032
WATDE0180, 1303230457, 1301238251
WATDE0220, 1505253507, 1503333015
Expert, 2223863817, 2221528850
WATDE0255, 1285512823, 1283736772
WATDE0235, 1560703887, 1558766119
WATDE0219, 1546199014, 1543965668
WATDE0232, 1320038081, 1318031744
WATDE0236, 1301813642, 1300263116
WATDE0328, 1144958063, 1141683977
WATDE0250, 1146649869, 1144963250
WATDE0207, 1137636969, 1136261784
WATDE0216, 1144552199, 1142810692
WATDE0306, 1195503141, 1192875911
WATDE0268, 1307283176, 1305172907
WATDE0200, 1611281771, 1608314151
WATDE0228, 1119928906, 1118326907
WATDE0229, 1642024382, 1639844453
WATDE0280, 1142217675, 1140571536
Bandit, 1718628226, 1717159873
WATDE0215, 1195400932, 1192888728
WATDE0175, 1579368838, 1576743603
WATDE0253, 1137448551, 1134110487
WATDE0209, 1201053976, 1199671931
WATDE0323, 1182700612, 1181028245
Galahad, 2654055076, 2651537038
WATDE0276, 1172137882, 1170293601
WATDE0237, 1233832681, 1232134741
WATDE0241, 1172696507, 1170400679
WATDE0294, 1409706323, 1407387022
WATDE0203, 1254979121, 1253489197
WATDE0225, 1135598328, 1134257734
Stava, 2178688623, 1458996368
WATDE0291, 1146415293, 1144350309
WATDE0277, 1136572916, 1134693636
WATDE0288, 1183785155, 1181105804
WATDE0346, 1149616038, 1147207068
WATDE0259, 1225463666, 1223911290
WATDE0262, 1317065218, 1315110990
Drake, 2522758207, 2515437073
WATDE0303, 1246138729, 1244051619
mercia, 2188059785, 2186144672
WATDE0281, 1335986906, 1333698745
WATDE0331, 1142187914, 1139002866
WATDE0273, 1148359796, 1145037058
WATDE0285, 1437337433, 1434599556
WATDE0275, 1168675168, 1166624709
WATDE0334, 1155458313, 1150503183
WATDE0308, 1143140794, 1141170675
Consort, 2183281962, 2181273956
WATDE0257, 1200691280, 1198016364
WATDE0321, 1346067455, 1344045532
WATDE0227, 1508033729, 1505934108
WATDE0260, 1521061623, 1518760942
WATDE0282, 1238854174, 1235277698
